a.1.1.1;Truncated hemoglobin
c.25.1.1;Reductases
c.25.1.2;Aromatic dioxygenase reductase-like
c.25.1.3;Dihydroorotate dehydrogenase B, PyrK subunit
c.25.1.4;NADPH-cytochrome p450 reductase-like
c.25.1.5;Flavohemoglobin, C-terminal domain
c.26.1.1;Class I aminoacyl-tRNA synthetases (RS), catalytic domain
c.26.1.2;Cytidylyltransferase
c.26.1.3;Adenylyltransferase
c.26.1.4;Pantothenate synthetase (Pantoate-beta-alanine ligase, PanC)
c.26.1.5;ATP sulfurylase catalytic domain
c.26.2.1;N-type ATP pyrophosphatases
c.26.2.5;PP-loop ATPase
c.26.2.2;PAPS reductase-like
c.26.2.3;ETFP subunits
c.26.2.4;Universal stress protein-like
c.26.2.6;ThiI-like
c.26.3.1;UDP-glucose/GDP-mannose dehydrogenase C-terminal domain
c.27.1.1;Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain
c.28.1.1;Cryptochrome/photolyase, N-terminal domain
c.114.1.1;DsrEF-like
c.114.1.2;DsrH-like
c.120.1.1;PIN domain
c.120.1.2;5' to 3' exonuclease catalytic domain
c.121.1.1;Ribose/Galactose isomerase RpiB/AlsB
c.150.1.1;ChaN-like
c.150.1.2;PMT domain-like
c.150.1.3;EreA-like
c.116.1.3;YbeA-like
c.116.1.4;tRNA(m1G37)-methyltransferase TrmD
c.116.1.1;SpoU-like RNA 2'-O ribose methyltransferase
c.116.1.2;Hypothetical protein MTH1 (MT0001), dimerisation domain
c.116.1.5;YggJ C-terminal domain-like
c.116.1.6;EMG1/NEP1-like
c.116.1.7;AF1056-like
c.116.1.8;AF0751-like
c.30.1.1;BC N-terminal domain-like
c.30.1.2;D-Alanine ligase N-terminal domain
c.30.1.6;Lysine biosynthesis enzyme LysX, N-terminal domain
c.30.1.3;Prokaryotic glutathione synthetase, N-terminal domain
c.30.1.4;Eukaryotic glutathione synthetase, substrate-binding domain
c.30.1.5;Synapsin domain
c.30.1.7;Glutathionylspermidine synthase substrate-binding domain-like
c.30.1.8;PurP N-terminal domain-like
c.31.1.1;Deoxyhypusine synthase, DHS
c.31.1.2;C-terminal domain of the electron transfer flavoprotein alpha subunit
c.31.1.3;Pyruvate oxidase and decarboxylase, middle domain
c.31.1.4;Transhydrogenase domain III (dIII)
c.31.1.5;Sir2 family of transcriptional regulators
c.31.1.6;ACDE2-like
c.32.1.1;Tubulin, GTPase domain
c.33.1.3;Isochorismatase-like hydrolases
c.99.1.1;Dipeptide transport protein
c.34.1.1;Homo-oligomeric flavin-containing Cys decarboxylases, HFCD
c.108.1.5;Probable phosphatase YrbI
c.108.1.1;HAD-related
c.108.1.6;beta-Phosphoglucomutase-like
c.108.1.2;YihX-like
c.108.1.3;Phosphonoacetaldehyde hydrolase-like
c.108.1.4;Phosphoserine phosphatase
c.108.1.8;5'(3')-deoxyribonucleotidase (dNT-2)
c.108.1.11;Homoserine kinase ThrH
c.108.1.12;Class B acid phosphatase, AphA
c.108.1.13;Hypothetical protein MW1667 (SA1546)
c.108.1.9;phosphatase domain of polynucleotide kinase
c.108.1.10;Predicted hydrolases Cof
c.108.1.14;NagD-like
c.108.1.7;Meta-cation ATPase, catalytic domain P
c.108.1.15;Trehalose-phosphatase
c.108.1.16;NLI interacting factor-like phosphatase
c.108.1.17;Magnesium-dependent phosphatase-1, Mdp1
c.108.1.18;Hypothetical protein VC0232
c.108.1.19;Histidinol phosphatase-like
c.108.1.20;MtnX-like
c.108.1.21;Pyrimidine 5'-nucleotidase (UMPH-1)
c.108.1.22;Enolase-phosphatase E1
c.108.1.23;5' nucleotidase-like
c.108.1.24;AF1437-like
c.108.1.25;BT0820-like
c.124.1.1;NagB-like
c.124.1.4;D-ribose-5-phosphate isomerase (RpiA), catalytic domain
c.124.1.3;CoA transferase beta subunit-like
c.124.1.2;CoA transferase alpha subunit-like
c.124.1.5;IF2B-like
c.124.1.6;Methenyltetrahydrofolate synthetase
c.124.1.7;YkgG-like
c.124.1.8;SorC sugar-binding domain-like
c.115.1.1;Hypothetical protein MTH777 (MT0777)
c.100.1.1;Thiamin pyrophosphokinase, catalytic domain
c.101.1.1;Undecaprenyl diphosphate synthase
c.127.1.1;F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD)
c.36.1.5;Pyruvate oxidase and decarboxylase Pyr module
c.36.1.6;TK-like Pyr module
c.36.1.7;Branched-chain alpha-keto acid dehydrogenase Pyr module
c.36.1.8;PFOR Pyr module
c.36.1.9;Pyruvate oxidase and decarboxylase PP module
c.36.1.10;TK-like PP module
c.36.1.11;Branched-chain alpha-keto acid dehydrogenase PP module
c.36.1.12;PFOR PP module
c.37.1.1;Nucleotide and nucleoside kinases
c.37.1.2;Shikimate kinase (AroK)
c.37.1.3;Chloramphenicol phosphotransferase
c.37.1.17;Gluconate kinase
c.37.1.21;Plasmid maintenance system epsilon/zeta, toxin zeta subunit
c.37.1.4;Adenosine-5'phosphosulfate kinase (APS kinase)
c.37.1.15;ATP sulfurylase C-terminal domain
c.37.1.5;PAPS sulfotransferase
c.37.1.6;Phosphoribulokinase/pantothenate kinase
c.37.1.7;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase, kinase domain
c.37.1.8;G proteins
c.37.1.9;Motor proteins
c.37.1.10;Nitrogenase iron protein-like
c.37.1.11;RecA protein-like (ATPase-domain)
c.37.1.22;Bacterial cell division inhibitor SulA
c.37.1.12;ABC transporter ATPase domain-like
c.37.1.19;Tandem AAA-ATPase domain
c.37.1.20;Extended AAA-ATPase domain
c.37.1.14;RNA helicase
c.37.1.16;Helicase-like "domain" of reverse gyrase
c.37.1.23;DNA helicase UvsW
c.37.1.18;YjeE-like
c.37.1.24;Type II thymidine kinase
c.37.1.25;Atu3015-like
c.38.1.1;PTS IIb component
c.128.1.1;DNA polymerase III chi subunit
c.39.1.1;Nicotinate mononucleotide:5,6-dimethylbenzimidazole phosphoribosyltransferase (CobT)
c.143.1.1;CofD-like
c.129.1.1;MoCo carrier protein-like
c.129.1.2;YpsA-like
c.40.1.1;Methylesterase CheB, C-terminal domain
c.41.1.1;Subtilases
c.41.1.2;Serine-carboxyl proteinase, SCP
c.138.1.1;Indigoidine synthase A-like
c.42.1.1;Arginase-like amidino hydrolases
c.42.1.2;Histone deacetylase, HDAC
c.130.1.1;Alpha-2,3/8-sialyltransferase CstII
c.102.1.1;Cell-division inhibitor MinC, N-terminal domain
c.110.1.1;DTD-like
c.43.1.1;CAT-like
c.43.1.3;Choline/Carnitine O-acyltransferase
c.43.1.2;NRPS condensation domain (amide synthase)
c.44.1.1;Low-molecular-weight phosphotyrosine protein phosphatases
c.44.2.1;PTS system, Lactose/Cellobiose specific IIB subunit
c.44.2.2;PTS system, Fructose specific IIB subunit-like
c.45.1.1;Dual specificity phosphatase-like
c.45.1.2;Higher-molecular-weight phosphotyrosine protein phosphatases
c.45.1.3;Myotubularin-like phosphatases
c.45.1.4;Myo-inositol hexaphosphate phosphohydrolase (phytase) PhyA
c.45.1.5;Mycobacterial PtpB-like
c.46.1.1;Cell cycle control phosphatase, catalytic domain
c.46.1.3;Single-domain sulfurtransferase
c.46.1.2;Multidomain sulfurtransferase (rhodanese)
c.46.1.4;Ubiquitin carboxyl-terminal hydrolase 8, USP8
c.47.1.1;Thioltransferase
c.47.1.2;PDI-like
c.47.1.3;Calsequestrin
c.47.1.13;DsbA-like
c.47.1.5;Glutathione S-transferase (GST), N-terminal domain
c.47.1.6;Phosducin
c.47.1.7;ERP29 N domain-like
c.47.1.8;spliceosomal protein U5-15Kd
c.47.1.14;SH3BGR (SH3-binding, glutamic acid-rich protein-like)
c.47.1.15;KaiB-like
c.47.1.9;DsbC/DsbG C-terminal domain-like
c.47.1.10;Glutathione peroxidase-like
c.47.1.11;Thioredoxin-like 2Fe-2S ferredoxin
c.47.1.12;ArsC-like
c.47.1.16;Txnl5-like
c.47.1.17;YuzD-like
c.47.1.18;YKR049C-like
c.47.1.19;Atu2684-like
c.47.1.20;HyaE-like
c.47.1.21;NQO2-like
c.47.1.22;Mitochondrial ribosomal protein L51/S25/CI-B8 domain
c.47.1.23;Selenoprotein W-related
c.47.1.24;UAS domain
c.47.2.1;RNA 3'-terminal phosphate cyclase, RPTC, insert domain
c.131.1.1;Peptidyl-tRNA hydrolase II
c.48.1.1;Transketolase C-terminal domain-like
c.48.1.2;Branched-chain alpha-keto acid dehydrogenase beta-subunit, C-terminal-domain
c.48.1.3;Pyruvate-ferredoxin oxidoreductase, PFOR, domain II
c.49.1.1;Pyruvate kinase, C-terminal domain
c.49.1.2;MTH1675-like
c.49.2.1;ATP synthase (F1-ATPase), gamma subunit
c.51.1.1;Anticodon-binding domain of Class II aaRS
c.51.1.2;Brix domain
c.51.2.1;TolB, N-terminal domain
c.51.3.1;Diol dehydratase, beta subunit
c.51.3.2;Dehydratase-reactivating factor beta subunit
c.51.4.1;ITPase (Ham1)
c.51.4.2;Maf-like
c.51.4.3;YjjX-like
c.51.5.1;CinA-like
c.51.6.1;NLBH-like
c.51.6.2;XCC0632-like
c.103.1.1;MTH938-like
c.52.1.1;Restriction endonuclease EcoRI
c.52.1.2;Restriction endonuclease EcoRV
c.52.1.3;Restriction endonuclease BamHI
c.52.1.4;Restriction endonuclease BglI
c.52.1.5;Restriction endonuclease BglII
c.52.1.21;Restriction endonuclease BstyI
c.52.1.6;Restriction endonuclease PvuII
c.52.1.7;Cfr10I/Bse634I
c.52.1.8;Restriction endonuclease MunI
c.52.1.9;Restriction endonuclease NaeI
c.52.1.10;Restriction endonuclease NgoIV
c.52.1.11;Restriction endonuclease BsobI
c.52.1.19;Restriction endonuclease HincII
c.52.1.12;Restriction endonuclease FokI, C-terminal (catalytic) domain
c.52.1.22;Type II restriction endonuclease catalytic domain
c.52.1.13;lambda exonuclease
c.52.1.14;DNA mismatch repair protein MutH from
c.52.1.15;Very short patch repair (VSR) endonuclease
c.52.1.16;TnsA endonuclease, N-terminal domain
c.52.1.17;Endonuclease I (Holliday junction resolvase)
c.52.1.18;Hjc-like
c.52.1.20;XPF/Rad1/Mus81 nuclease
c.52.1.23;Restriction endonuclease MspI
c.52.1.24;Exodeoxyribonuclease V beta chain (RecB), C-terminal domain
c.52.1.25;Exodeoxyribonuclease V beta chain (RecC), C-terminal domain
c.52.1.26;Hypothetical protein VC1899
c.52.1.27;Hypothetical protein TT1808 (TTHA1514)
c.52.1.28;RecU-like
c.52.1.29;Restriction endonuclease EcoO109IR
c.52.1.30;MRR-like
c.52.1.31;PA4535-like
c.52.1.32;XisH-like
c.52.1.33;YaeQ-like
c.52.2.1;tRNA-intron endonuclease catalytic domain-like
c.52.3.1;Eukaryotic RPB5 N-terminal domain
c.52.4.1;TBP-interacting protein-like
c.53.1.1;gamma,delta resolvase, catalytic domain
c.53.2.1;beta-carbonic anhydrase, cab
c.54.1.1;EIIA-man component-like
c.54.1.2;DhaM-like
c.55.1.1;Actin/HSP70
c.55.1.5;BadF/BadG/BcrA/BcrD-like
c.55.1.2;Acetokinase-like
c.55.1.6;ATPase domain of dehydratase reactivase alpha subunit
c.55.1.3;Hexokinase
c.55.1.4;Glycerol kinase
c.55.1.7;Glucokinase
c.55.1.8;Ppx/GppA phosphatase
c.55.1.9;YeaZ-like
c.55.1.10;ROK
c.55.1.11;Cyto-EpsL domain
c.55.1.12;Ta0583-like
c.55.1.13;CoaX-like
c.55.1.14;Fumble-like
c.55.2.1;Creatinase/prolidase N-terminal domain
c.55.3.1;Ribonuclease H
c.55.3.2;Retroviral integrase, catalytic domain
c.55.3.3;mu transposase, core domain
c.55.3.4;Transposase inhibitor (Tn5 transposase)
c.55.3.5;DnaQ-like 3'-5' exonuclease
c.55.3.6;RuvC resolvase
c.55.3.7;Mitochondrial resolvase ydc2 catalytic domain
c.55.3.8;Putative Holliday junction resolvase RuvX
c.55.3.9;CAF1-like ribonuclease
c.55.3.10;PIWI domain
c.55.3.11;TM1739-like
c.55.3.12;Hermes transposase-like
c.55.3.13;Tex RuvX-like domain-like
c.55.3.14;Prp8 beta-finger domain-like
c.55.4.1;Ribosomal protein L18 and S11
c.55.4.2;ERF1/Dom34 middle domain-like
c.55.5.1;MTH1175-like
c.55.5.2;Nitrogenase accessory factor
c.55.6.1;DNA repair protein MutS, domain II
c.55.7.1;Methylated DNA-protein cysteine methyltransferase domain
c.56.1.1;Hydrogenase maturating endopeptidase HybD
c.56.1.2;Germination protease
c.56.2.1;Purine and uridine phosphorylases
c.56.3.1;Peptidyl-tRNA hydrolase-like
c.56.4.1;Pyrrolidone carboxyl peptidase (pyroglutamate aminopeptidase)
c.56.5.1;Pancreatic carboxypeptidases
c.56.5.2;Carboxypeptidase T
c.56.5.3;Leucine aminopeptidase, C-terminal domain
c.56.5.4;Bacterial dinuclear zinc exopeptidases
c.56.5.5;FolH catalytic domain-like
c.56.5.6;N-acetylmuramoyl-L-alanine amidase-like
c.56.5.7;AstE/AspA-like
c.56.5.8;Glutaminyl-peptide cyclotransferase-like
c.56.5.9;FGase-like
c.56.6.1;LigB-like
c.56.7.1;AF0625-like
c.56.8.1;Cgl1923-like
c.57.1.1;MogA-like
c.57.1.2;MoeA central domain-like
c.151.1.1;CobE/GbiG C-terminal domain-like
c.152.1.1;CbiG N-terminal domain-like
c.132.1.1;Bacterial fluorinating enzyme, N-terminal domain
c.17.1.1;Caspase catalytic domain
c.17.1.2;Gingipain R (RgpB), N-terminal domain
c.50.1.1;Leucine aminopeptidase (Aminopeptidase A), N-terminal domain
c.50.1.2;Macro domain
c.59.1.1;MurCDEF C-terminal domain
c.59.1.2;Folylpolyglutamate synthetase, C-terminal domain
c.60.1.1;Cofactor-dependent phosphoglycerate mutase
c.60.1.2;Histidine acid phosphatase
c.60.1.4;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase, phosphatase domain
c.61.1.1;Phosphoribosyltransferases (PRTases)
c.61.1.2;Phosphoribosylpyrophosphate synthetase-like
c.62.1.1;Integrin A (or I) domain
c.62.1.2;Trunk domain of Sec23/24
c.62.1.3;Ku70 subunit N-terminal domain
c.62.1.4;Ku80 subunit N-terminal domain
c.62.1.5;RoRNP C-terminal domain-like
c.64.1.1;Pyruvate-ferredoxin oxidoreductase, PFOR, domain III
c.133.1.1;RbsD-like
c.19.1.1;FabD-like
c.19.1.2;Lysophospholipase
c.19.1.3;Patatin
c.122.1.1;L-sulfolactate dehydrogenase-like
c.65.1.1;Formyltransferase
c.66.1.1;COMT-like
c.66.1.12;Plant O-methyltransferase, C-terminal domain
c.66.1.2;RNA methyltransferase FtsJ
c.66.1.3;Fibrillarin homologue
c.66.1.33;rRNA methyltransferase RlmA
c.66.1.29;rRNA methyltransferase AviRa
c.66.1.24;rRNA adenine dimethylase-like
c.66.1.25;mRNA cap methylase
c.66.1.34;mRNA cap (Guanine N-7) methyltransferase
c.66.1.4;Hypothetical protein MJ0882
c.66.1.14;Hypothetical protein HI0319 (YecO)
c.66.1.5;Glycine N-methyltransferase
c.66.1.15;Arylamine N-methyltransferase
c.66.1.19;Histamine methyltransferase
c.66.1.21;Hypothetical Protein YjhP
c.66.1.35;Salicylic acid carboxyl methyltransferase (SAMT)
c.66.1.36;Thiopurine S-methyltransferase
c.66.1.37;Leucine carboxy methyltransferase Ppm1
c.66.1.22;Precorrin-6Y methyltransferase (CbiT)
c.66.1.23;MraW-like putative methyltransferases
c.66.1.30;N5-glutamine methyltransferase, HemK
c.66.1.31;Catalytic, N-terminal domain of histone methyltransferase Dot1l
c.66.1.16;Guanidinoacetate methyltransferase
c.66.1.6;Arginine methyltransferase
c.66.1.7;Protein-L-isoaspartyl O-methyltransferase
c.66.1.20;Glucose-inhibited division protein B (GidB)
c.66.1.13;tRNA(1-methyladenosine) methyltransferase-like
c.66.1.38;NOL1/NOP2/sun
c.66.1.39;Ribosomal protein L11 methyltransferase PrmA
c.66.1.40;(Uracil-5-)-methyltransferase
c.66.1.8;Chemotaxis receptor methyltransferase CheR, C-terminal domain
c.66.1.26;C5 cytosine-specific DNA methylase, DCM
c.66.1.27;DNA methylase TaqI, N-terminal domain
c.66.1.28;N6 adenine-specific DNA methylase, DAM
c.66.1.11;Type II DNA methylase
c.66.1.17;Spermidine synthase
c.66.1.18;Mycolic acid cyclopropane synthase
c.66.1.32;Ta1320-like
c.66.1.41;UbiE/COQ5-like
c.66.1.42;AD-003 protein-like
c.66.1.43;CAC2371-like
c.66.1.44;TehB-like
c.66.1.45;N-6 DNA Methylase-like
c.66.1.46;YhhF-like
c.66.1.47;Met-10+ protein-like
c.66.1.48;Nsp15 N-terminal domain-like
c.66.1.49;BC2162-like
c.66.1.50;CmcI-like
c.66.1.51;hypothetical RNA methyltransferase
c.66.1.52;RPA4359-like
c.66.1.53;TrmB-like
c.66.1.54;Methyltransferase 10 domain
c.66.1.55;YhiQ-like
c.66.1.56;FkbM-like
c.66.1.57;ML2640-like
c.66.1.58;TRM1-like
c.66.1.59;LPG1296-like
c.134.1.1;LmbE-like
c.67.1.1;AAT-like
c.67.1.2;Beta-eliminating lyases
c.67.1.6;Pyridoxal-dependent decarboxylase
c.67.1.3;Cystathionine synthase-like
c.67.1.4;GABA-aminotransferase-like
c.67.1.5;Ornithine decarboxylase major domain
c.67.1.7;Glycine dehydrogenase subunits (GDC-P)
c.67.1.8;SelA-like
c.67.1.9;SepSecS-like
c.67.2.1;PhnH-like
c.67.3.1;Dhaf3308-like
c.68.1.1;Spore coat polysaccharide biosynthesis protein SpsA
c.68.1.2;beta 1,4 galactosyltransferase (b4GalT1)
c.68.1.4;Galactosyltransferase LgtC
c.68.1.14;Glycogenin
c.68.1.9;alpha-1,3-galactosyltransferase-like
c.68.1.5;UDP-glucose pyrophosphorylase
c.68.1.6;glucose-1-phosphate thymidylyltransferase
c.68.1.7;1,3-glucuronyltransferase
c.68.1.10;N-acetylglucosaminyltransferase I
c.68.1.15;Exostosin
c.68.1.8;Molybdenum cofactor biosynthesis protein MobA
c.68.1.13;Cytidylytransferase
c.68.1.16;Glycolipid 2-alpha-mannosyltransferase
c.68.1.17;Polypeptide N-acetylgalactosaminyltransferase 1, N-terminal domain
c.68.1.18;MGS-like
c.68.1.19;TTHA0179-like
c.68.1.20;mannose-1-phosphate guanylyl transferase
c.68.1.21;MM2497-like
c.68.1.22;Glycosylating toxin catalytic domain-like
c.144.1.1;RibA-like
c.111.1.1;Molybdenum cofactor biosynthesis protein MoeB
c.111.1.2;Ubiquitin activating enzymes (UBA)
c.69.1.1;Acetylcholinesterase-like
c.69.1.2;Carboxylesterase
c.69.1.3;Mycobacterial antigens
c.69.1.27;Hypothetical protein TT1662
c.69.1.21;PepX catalytic domain-like
c.69.1.4;Prolyl oligopeptidase, C-terminal domain
c.69.1.24;DPP6 catalytic domain-like
c.69.1.5;Serine carboxypeptidase-like
c.69.1.6;Gastric lipase
c.69.1.7;Proline iminopeptidase-like
c.69.1.25;Acetyl xylan esterase-like
c.69.1.8;Haloalkane dehalogenase
c.69.1.9;Dienelactone hydrolase
c.69.1.10;Carbon-carbon bond hydrolase
c.69.1.26;Biotin biosynthesis protein BioH
c.69.1.28;Aclacinomycin methylesterase RdmC
c.69.1.29;Carboxylesterase/lipase
c.69.1.11;Epoxide hydrolase
c.69.1.12;Haloperoxidase
c.69.1.13;Thioesterases
c.69.1.14;Carboxylesterase/thioesterase 1
c.69.1.23;Ccg1/TafII250-interacting factor B (Cib)
c.69.1.15;A novel bacterial esterase
c.69.1.16;Lipase
c.69.1.17;Fungal lipases
c.69.1.18;Bacterial lipase
c.69.1.19;Pancreatic lipase, N-terminal domain
c.69.1.20;Hydroxynitrile lyase-like
c.69.1.22;Thioesterase domain of polypeptide, polyketide and fatty acid synthases
c.69.1.30;Cutinase-like
c.69.1.31;YdeN-like
c.69.1.32;Putative serine hydrolase Ydr428c
c.69.1.33;Acylamino-acid-releasing enzyme, C-terminal donain
c.69.1.34;Hypothetical esterase YJL068C
c.69.1.35;Hypothetical protein VC1974
c.69.1.36;Atu1826-like
c.69.1.37;PHB depolymerase-like
c.69.1.38;IroE-like
c.69.1.39;TTHA1544-like
c.69.1.40;O-acetyltransferase
c.69.1.41;2,6-dihydropseudooxynicotine hydrolase-like
c.70.1.1;Nucleoside hydrolase
c.71.1.1;Dihydrofolate reductases
c.71.1.2;RibD C-terminal domain-like
c.72.1.2;Thiamin biosynthesis kinases
c.72.1.4;YjeF C-terminal domain-like
c.72.1.5;PfkB-like kinase
c.72.1.1;Ribokinase-like
c.72.1.3;ADP-specific Phosphofructokinase/Glucokinase
c.72.2.1;MurCDEF
c.72.2.2;Folylpolyglutamate synthetase
c.72.3.1;CoaB-like
c.104.1.1;YjeF N-terminal domain-like
c.73.1.1;Carbamate kinase
c.73.1.2;N-acetyl-l-glutamate kinase
c.73.1.3;PyrH-like
c.105.1.1;2,3-Bisphosphoglycerate-independent phosphoglycerate mutase, substrate-binding domain
c.76.1.3;2,3-Bisphosphoglycerate-independent phosphoglycerate mutase, catalytic domain
c.76.1.1;Alkaline phosphatase
c.76.1.2;Arylsulfatase
c.76.1.4;Phosphonoacetate hydrolase
c.76.1.5;DeoB catalytic domain-like
c.140.1.1;Hypothetical protein TT1679
c.140.1.2;Aminoglycoside 3-N-acetyltransferase-like
c.112.1.1;Glycerol-3-phosphate (1)-acyltransferase
c.74.1.1;AraD-like aldolase/epimerase
c.74.1.2;Phosphomethylpyrimidine kinase C-terminal domain-like
c.106.1.1;SurE-like
c.153.1.1;YerB-like
c.154.1.1;CdCA1 repeat-like
c.77.1.1;Dimeric isocitrate & isopropylmalate dehydrogenases
c.77.1.3;PdxA-like
c.77.1.4;PlsX-like
c.77.1.5;Phosphotransacetylase
c.77.1.2;Monomeric isocitrate dehydrogenase
c.117.1.1;Amidase signature (AS) enzymes
c.78.1.1;Aspartate/ornithine carbamoyltransferase
c.78.2.1;Aspartate/glutamate racemase
c.79.1.1;Tryptophan synthase beta subunit-like PLP-dependent enzymes
c.80.1.3;mono-SIS domain
c.80.1.1;double-SIS domain
c.80.1.2;Phosphoglucose isomerase, PGI
c.81.1.1;Formate dehydrogenase/DMSO reductase, domains 1-3
c.82.1.1;ALDH-like
c.82.1.2;L-histidinol dehydrogenase HisD
c.145.1.1;NadA-like
c.83.1.1;Aconitase iron-sulfur domain
c.84.1.1;Phosphoglucomutase, first 3 domains
c.85.1.1;L-fucose isomerase, N-terminal and second domains
c.85.1.2;AraA N-terminal and middle domain-like
c.146.1.1;YgbK-like
c.86.1.1;Phosphoglycerate kinase
c.87.1.1;beta-Glucosyltransferase (DNA-modifying)
c.87.1.2;Peptidoglycan biosynthesis glycosyltransferase MurG
c.87.1.3;UDP-N-acetylglucosamine 2-epimerase
c.87.1.5;Gtf glycosyltransferase
c.87.1.7;ADP-heptose LPS heptosyltransferase II
c.87.1.6;Trehalose-6-phosphate synthase, OtsA
c.87.1.4;Oligosaccharide phosphorylase
c.87.1.8;Glycosyl transferases group 1
c.87.1.9;Sialyltransferase-like
c.87.1.10;UDPGT-like
c.87.1.11;FucT-like
c.88.1.1;Glutaminase/Asparaginase
c.89.1.1;Phosphofructokinase
c.90.1.1;Tetrapyrrole methylase
c.118.1.1;GckA/TtuD-like
c.119.1.1;DegV-like
c.119.1.2;DAK1
c.107.1.1;Manganese-dependent inorganic pyrophosphatase (family II)
c.107.1.2;Exonuclease RecJ
c.141.1.1;Glycerate kinase I
c.91.1.1;PEP carboxykinase C-terminal domain
c.91.1.2;HPr kinase HprK C-terminal domain
c.109.1.1;PEP carboxykinase N-terminal domain
c.92.1.1;Ferrochelatase
c.92.1.2;Cobalt chelatase CbiK
c.92.1.3;CbiX-like
c.92.2.1;Periplasmic ferric siderophore binding protein FhuD
c.92.2.2;TroA-like
c.92.2.3;Nitrogenase iron-molybdenum protein
c.92.2.4;TM0189-like
c.92.3.1;PrpR receptor domain-like
c.113.1.1;HemD-like
c.147.1.1;CAC2185-like
c.93.1.1;L-arabinose binding protein-like
c.94.1.1;Phosphate binding protein-like
c.94.1.2;Transferrin
c.94.1.3;PG0945 N-terminal domain-like
c.95.1.1;Thiolase-related
c.95.1.2;Chalcone synthase-like
c.135.1.1;NIF3 (NGG1p interacting factor 3)-like
c.96.1.1;Fe-only hydrogenase
c.148.1.1;ComB-like
c.123.1.1;CoA-transferase family III (CaiB/BaiF)
c.97.1.1;Cytidine deaminase
c.97.1.2;Deoxycytidylate deaminase-like
c.97.1.3;Hypothetical protein TM1506
c.97.1.4;AICAR transformylase domain of bifunctional purine biosynthesis enzyme ATIC
c.97.1.5;FdhD/NarQ
c.97.3.1;JAB1/MPN domain
d.1.1.2;Bacterial ribonucleases
d.1.1.4;Fungal ribonucleases
d.1.1.3;Ribotoxin
d.2.1.1;Family 19 glycosidase
d.2.1.2;C-type lysozyme
d.2.1.3;Phage lysozyme
d.2.1.4;Lambda lysozyme
d.2.1.5;G-type lysozyme
d.2.1.6;Bacterial muramidase, catalytic domain
d.2.1.7;Chitosanase
d.2.1.8;RPF-like
d.2.1.9;NMB1012-like
d.2.1.10;PBP transglycosylase domain-like
d.2.1.11;PA2222-like
d.3.1.1;Papain-like
d.3.1.10;Avirulence protein Avrpph3
d.3.1.2;FMDV leader protease
d.3.1.3;Calpain large subunit, catalytic domain (domain II)
d.3.1.4;Transglutaminase core
d.3.1.5;Arylamine N-acetyltransferase
d.3.1.6;Ubiquitin carboxyl-terminal hydrolase UCH-L
d.3.1.9;Ubiquitin carboxyl-terminal hydrolase, UCH
d.3.1.7;Adenain-like
d.3.1.8;Microbial transglutaminase
d.3.1.11;Ubiquitin thiolesterase protein OTUB2 (Otubain-2)
d.3.1.12;IgG-specific endopeptidase IdeS (Sib38)
d.3.1.13;Lpg0564-like
d.3.1.14;Phytochelatin synthase
d.3.1.15;CHAP domain
d.3.1.16;NlpC/P60
d.3.1.17;PMT C-terminal domain like
d.3.1.18;MOA C-terminal domain-like
d.3.1.19;Atu2299-like
d.3.1.20;M48USP-like
d.3.1.21;YiiX-like
d.3.1.22;Autophagin-like
d.4.1.6;Endonuclease I
d.4.1.1;HNH-motif
d.4.1.2;DNA/RNA non-specific endonuclease
d.4.1.3;Intron-encoded homing endonucleases
d.4.1.5;Recombination endonuclease VII, N-terminal domain
d.4.1.7;Caspase-activated DNase, CAD (DffB, DFF40)
d.5.1.1;Ribonuclease A-like
d.294.1.1;Eukaryotic EndoU ribonuclease
d.294.1.2;Nsp15 C-terminal domain-like
d.6.1.1;Prion-like
d.7.1.1;LysM domain
d.186.1.1;Head-to-tail joining protein W, gpW
d.186.2.1;XkdW-like
d.266.1.1;Hypothetical protein MTH677
d.288.1.1;GTF2I-like repeat
d.8.1.1;Urease, gamma-subunit
d.9.1.1;Interleukin 8-like chemokines
d.9.2.1;PhtA domain-like
d.10.1.1;DNA-binding domain from tn916 integrase
d.10.1.4;lambda integrase N-terminal domain
d.10.1.2;GCC-box binding domain
d.10.1.3;Methyl-CpG-binding domain, MBD
d.11.1.1;Penicillin-binding protein 2x (pbp-2x), c-terminal domain
d.230.2.1;Dodecin-like
d.230.3.1;Amyloid beta a4 protein copper binding domain (domain 2)
d.230.1.1;N-terminal, heterodimerisation domain of RBP7 (RpoE)
d.230.4.1;D-lysine 5,6-aminomutase beta subunit KamE, N-terminal domain
d.230.5.1;YbjQ-like
d.230.6.1;YdgH-like
d.12.1.1;L23p
d.12.1.2;L15e
d.12.1.3;Ribosomal protein S24e
d.241.2.1;Trigger factor ribosome-binding domain
d.241.1.1;Translation initiation factor 2 beta, aIF2beta, N-terminal domain
d.295.1.1;TFB5-like
d.242.1.1;Obg GTP-binding protein C-terminal domain
d.13.1.1;HIT (HINT, histidine triad) family of protein kinase-interacting proteins
d.13.1.2;Hexose-1-phosphate uridylyltransferase
