a.1.1;Globin-like
j.9.5;Box B RNA-binding N peptide
j.9.6;HTLV-1 peptide
j.9.7;Ilarvirus coat protein N-terminal fragment
j.10.1;DNA-binding domains of HMG-I(Y)
j.11.1;VPR protein fragments
j.12.1;Inactivation gate of potassium and sodium channels
j.13.1;Coagulation factor VIII, membrane-binding peptide
j.14.1;Phosphocholine cytidylyltransferase membrane-binding peptides
j.15.1;Parathyroid hormone fragments (residues between 1 and 39)
j.16.1;Corticotropin releasing hormone
j.17.1;Liposaccharide-binding protein CAP18 (residues 106-137)
j.18.1;Polymorphic antigen SPAM-H1 (residues 90-127)
j.19.1;Insect toxins
j.20.1;Tertiapin
j.21.1;Antifreeze polypeptide HPLC-6
j.22.1;Troponin I fragments
j.23.1;Pilin fragments
j.24.1;RP71935
j.25.1;Atrial natriuretic peptide
j.26.1;Compstatin
j.27.1;Membrane-bound antimicrobial peptides
j.28.1;Endothelin-like
j.29.1;Heat-stable enterotoxin (HSE)
j.30.1;Conotoxins
j.31.1;Conantokin
j.32.1;Contryphan-R
j.33.1;Immunodominant region of protein G of BRSV
j.33.2;Potassium channel toxins
j.107.1;Penaeidin-3a
j.34.1;Bradykinin
j.35.1;Transmembrane helical fragments
j.36.1;Ferredoxin chloroplastic transit peptide
j.36.2;Vacuolar targeting peptide from NA-PROPI (residues 29-54)
j.36.3;Microcin leader peptide
j.36.4;ATP synthase beta chain, mitochondrial prepeptide
j.37.1;Phospholamban fragments
j.79.1;Influenza hemagglutinin fragments
j.38.1;Fragments of bowman-birk inhibitor
j.39.1;Fragments of apolipoproteins
j.40.1;Transactivation protein TAT
j.41.1;Proline pipe
j.42.1;Amyloid peptides
j.43.1;Gelsolin fragment (residues 150-169)
j.44.1;Acetylcholine receptor fragment (residues alpha 67-76)
j.45.1;Thrombomodulin EGF domain fragment (residues 409-426)
j.78.1;C-terminal fragment of thermolysin
j.47.1;Capsid protein major homology region peptide analog
j.48.1;CD4 and CD8 receptor regions
j.108.1;Proto-oncogene tyrosine-protein kinase lck CD4/CD8 interacting region
j.49.1;Heparin binding site of non collagenous domain I (nc1) of collagen facit xiv
j.50.1;GroES fragments
j.51.1;cAMP and cGMP phosphodiesterase (PDE) fragments
j.52.1;HIV-1 Nef protein fragments
j.53.1;HIV-1 envelope gp120 protein fragments
j.85.1;HIV-1 gp41 fragments
j.54.1;Hepatitis C virus N-terminal capsid protein fragment 2-45
j.55.1;P27(KIP1) fragment 22-106
j.56.1;Transducin alpha-1 subunit rhodopsin binding domain (res. 340-350)
j.103.1;Transducin gamma-t1 subunit rhodopsin bound fragment (res. 60-71)
j.57.1;alpha-lactalbumin peptide model
j.58.1;Coat protein-binding domain of bacteriophage P22 scaffolding protein
j.59.1;Immunoreceptor tyrosine kinase activation motif, ITAM
j.60.1;Integrin fragments
j.61.1;Human glutathione reductase (HGR) inhibitor
j.62.1;Small subunit C-terminal inhibitory peptide of ribonucleotide reductase
j.63.1;Histone H3 C-terminal fragment 130-135
j.64.1;Smad-binding domain of Sara
j.96.1;Transactivation domain
j.112.1;Nuclear receptor coactivator Src-1
j.104.1;TBP-binding domain of the transcription factor IIIb Brf1 subunit
j.97.1;BRCA2 BRC4 repeat
j.65.1;Peptide derived from p-21 activated kinase
j.66.1;pak1 autoregulatory domain
j.67.1;Translocated intimin receptor (tir) intimin-binding domain
j.68.1;Fragments of the L-type calcium channel alpha subunit Cav.1 (dihydropyridine receptor)
j.69.1;Tumor suppressor p53 fragments
j.70.1;FxFG nucleoporin repeats
j.71.1;beta-Catenine bound non-globular protein regions
j.72.1;Synaptobrevin-II fragments
j.73.1;VMIP-II fragment
j.74.1;Papillomavirus e6-interacting peptide of e6ap
j.75.1;Isolated insulin B-chain
j.76.1;N-terminal hairpin of ubiquitin (residues 1-17)
j.77.1;alpha-helical hairpin of p8mtcp1
j.80.1;Syndecan-4 cytoplasmic domain
j.86.1;Actin-binding peptides
j.81.1;Pituitary adenylate cyclase activating polypeptide, pacap21
j.87.1;Rack1 interaction site of the CAMP-specific phosphodiesterase pde4d5.
j.88.1;Prepeptide of 5-ALAS
j.82.1;Cholecystokinin receptor fragments
j.89.1;the cytoplasmic N-terminus of the bk beta-subunit kcnmb2
j.83.1;Trypsin inhibitor SFTIf-1
j.90.1;Prion protein fragments
j.91.1;Tumor suppressor protein p19-ARF fragment
j.92.1;Antennapedia homeodomain fragments
j.93.1;Sheep myeloid antimicrobial peptide SMAP29 based peptides
j.94.1;alpha-2a adrenergic receptor pepride t3-i2
j.95.1;Catestatin fragment from chromogranin A
j.98.1;Bhpbr3, the Baff-binding loop of br3 embedded in a beta-hairpin peptide
j.99.1;N-terminal fragment of gastric H/K-ATPase
j.100.1;Barstar fragment
j.101.1;Cannabinoid receptor 1 (CB1) fragment
j.84.1;Ribosomal protein L10
j.105.1;Ubiquitin interacting motif (UIM)
j.109.1;Metal-binding peptide from MerP
j.110.1;Marinostatin, MstI
j.111.1;Cross-reactive peptides from 60S acidic ribosomal protein p2
j.113.1;NTR, cyclotide processing element
j.114.1;HMG-box transcription factor 1 fragments
j.115.1;MAD protein fragments
j.116.1;Fragments of TNF receptors
j.117.1;Ezrin-radixin-moesin binding phosphoprotein 50 (ebp50) fragments
j.118.1;Ribosomal protein L34p
j.122.1;Ribosomal protein S21p
j.119.1;Retinoblastoma-associated protein RB1 fragments
j.120.1;Genome linked protein vpg
j.121.1;Programmed cell death protein 5 fragments
k.41.1;New fold designs
k.42.1;In vitro evolution products
k.1.1;Hybrid and chimeric proteins
k.2.1;Amphiphilic (amphipathic) alpha helix
k.3.1;Collagen-like peptides
k.4.1;Coiled serine
k.40.1;Designed trimeric coiled-coil
k.6.1;Designed heterodimeric coiled-coil
k.7.1;Thermostable heterotrimeric coiled coil
k.8.1;Designed four-helix bundle protein
k.9.1;Designed single chain three-helix bundle
k.10.1;Peptide f (amphiphilic octadecapeptide)
k.11.1;Retro-GCN4 leucine zipper
k.31.1;Glytm1bzip
k.12.1;Zinc finger design
k.13.1;Protein A Ig(Fc)-binding domain mimics
k.14.1;Zinc finger based beta-beta-alpha motif
k.15.1;helix-turn-helix motif
k.16.1;alpha2d
k.17.1;Right-handed coiled coil
k.38.1;TPR domain-based design
k.18.1;Erythropoietin (EPO) mimetic peptides
k.19.1;IL-1 receptor type 1 antagonist peptide AF10847
k.20.1;Octreotide (Sandostatine), a somatostatine analogue
k.21.1;Calmodulin
k.22.1;WW domain-based designs
k.37.1;Artificial ankyrin repeat proteins
k.43.1;Carboxypeptidase A prodomain-based design
k.45.1;Ubiquitin
k.46.1;Cro lambda fold design
k.23.1;Scorpion toxin-based designs
k.26.1;TH (toxin hand)-motif beta-sheet mini-protein designs
k.24.1;Inhibitor of mammalian ribonucleotide reductase
k.27.1;Integrin-binding RGD peptide
k.28.1;Peptide antagonists of IGF-1
k.29.1;beta-hairpin design
k.32.1;Trp-cage miniprotein
k.30.1;Synthetic high affinity IgE receptor antagonists
k.33.1;IFN mimetic syr6
k.34.1;TAZ (CH) Zn-binding domain based design
k.35.1;Beta-sheet designs
k.36.1;PW2, a tryptophan-rich anticocidial peptide
k.44.1;Designed EF-hand type cation-binding loop
k.39.1;Metalloporphyrin-binding designed peptides
